行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,承德路,五段80號監理站公車站,121.514563,25.096483,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,五段80號監理站大門,121.51434,25.0946705,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段67號,121.5246883,25.0793029,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,四段67號,121.5246887,25.0793023,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路,五段80號監理站,121.514696,25.094855,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,150號,121.515259,25.094197,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,150號,121.516927,25.094309,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士商路,150號,121.516927,25.094309,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路五段,80號監理站大門,121.51434,25.0946705,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,承德路五段,80號監理站大門,121.51434,25.0946705,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福港街,199巷,121.517864,25.087168,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福港街,199巷,121.517864,25.087168,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段31號,121.52492,25.103464,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福國路,95之15號,121.5218614,25.1017007,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,724號對面,121.520426,25.102434,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文林路,720號對面,121.5205657,25.1022271,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至誠路,一段62巷對面,121.536216,25.101491,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號文昌橋下,121.520312,25.099756,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路六段,1號對面公園,121.525617,25.102598,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路六段,1號對面公園,121.525617,25.102598,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,仰德大道,一段28號對面,121.537492,25.102211,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,公車站牌,雨農國小,121.530261,25.104619,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號文昌橋下,121.520312,25.099756,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號,121.520583,25.10029,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號,121.520583,25.10029,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,愛富一街,旁公車站牌旁(一)文化大學公車站,121.546522,25.13802,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,愛富一街,旁公車站牌旁(二)文化大學公車站,121.546522,25.13802,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,和平路,10號旁(一)文化大學公車站,121.546582,25.138675,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,和平路,10號旁(二)文化大學公車站,121.546582,25.138675,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,凱旋路,(觀景台),121.539387,25.133984,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,凱旋路,(觀景台),121.539387,25.133984,嚴禁投入家用垃圾，違者重罰新台幣6000元
